suite,prior,Q,mode,ess_abs,ess_signed,ess_inner,chi2,chi2_per_data,n_data,chi2_linear,chi2_bilinear
closure_JAM_truth_small,beta_envelope,5,exp,0.998268165849981,0.998268165849981,0.998266961716405,117.9515244035085,0.6938324964912265,170,105.5622107160273,12.389313687481204
closure_JAM_truth_small,beta_envelope,5,both,0.9984552935643191,0.9984552935643191,0.998455293548259,155.3249391360678,0.6418385914713546,242,142.93961467795566,12.385324458112125
closure_JAM_truth_small,const_logrbf,mc,lattice,,,,34.42429793243235,0.4002825340980506,86,34.42429793243235,0.0
closure_JAM_truth_small,const_logrbf,mc,dis,,,,134.2189309175149,0.8494869045412337,158,134.2189309175149,0.0
closure_JAM_truth_small,const_logrbf,mc,dy,0.9995289184533824,0.9995289184533824,0.9995289105151569,9.390312545743896,0.361165867143996,26,6.157898269767566e-07,9.39031192995407
closure_JAM_truth_small,const_logrbf,mc,exp,0.9819451153906696,0.9819451153906696,0.981945042016865,143.6050703083561,0.8447357076962123,170,134.21413858831357,9.390931720042511
closure_JAM_truth_small,const_logrbf,mc,both,0.9843866208156588,0.9843866208156588,0.9843866208095378,185.86869932027247,0.7680524765300515,242,176.477633135149,9.391066185123462
closure_JAM_truth_small,const_logrbf,1,lattice,,,,63.44439605262958,0.7377255354956928,86,63.44439605262958,0.0
closure_JAM_truth_small,const_logrbf,1,dis,,,,136.10338925324393,0.8614138560331894,158,136.10338925324393,0.0
closure_JAM_truth_small,const_logrbf,1,dy,0.999599817319399,0.999599817319399,0.9995998101666286,10.384974680970727,0.39942210311425874,26,5.984114818788536e-07,10.384974082559244
closure_JAM_truth_small,const_logrbf,1,exp,0.9240330701359697,0.9240330701359697,0.9240329970474697,146.5249390730523,0.8619114063120724,170,136.14017662008118,10.384762452971122
closure_JAM_truth_small,const_logrbf,1,both,0.819192858279599,0.819192858279599,0.8191928563560228,216.7933452236023,0.8958402695190177,242,206.4086298072849,10.384715416317379
closure_JAM_truth_small,const_logrbf,2,lattice,,,,34.45396287914937,0.4006274753389462,86,34.45396287914937,0.0
closure_JAM_truth_small,const_logrbf,2,dis,,,,160.67897147880828,1.01695551568866,158,160.67897147880828,0.0
closure_JAM_truth_small,const_logrbf,2,dy,0.9995276112864385,0.9995276112864385,0.9995276031618253,7.433238098312434,0.2858937730120167,26,6.161800651091692e-07,7.433237482132369
closure_JAM_truth_small,const_logrbf,2,exp,0.9665058900594474,0.9665058900594474,0.9665057446910089,168.0897797839401,0.9887634104937653,170,160.6567447296012,7.433035054338898
closure_JAM_truth_small,const_logrbf,2,both,0.9820108320175193,0.9820108320175193,0.9820108320129365,208.86813809974103,0.863091479750996,242,201.4351366523478,7.433001447393231
closure_JAM_truth_small,const_logrbf,3,lattice,,,,46.75500057921313,0.5436627974327108,86,46.75500057921313,0.0
closure_JAM_truth_small,const_logrbf,3,dis,,,,129.37865530404852,0.8188522487598008,158,129.37865530404852,0.0
closure_JAM_truth_small,const_logrbf,3,dy,0.9995609617841129,0.9995609617841129,0.9995609542730884,7.385063920511771,0.2840409200196835,26,6.162985768486703e-07,7.385063304213195
closure_JAM_truth_small,const_logrbf,3,exp,0.9040532986724187,0.9040532986724187,0.9040529210511644,136.8169555985211,0.8048056211677712,170,129.4325235816494,7.384432016871695
closure_JAM_truth_small,const_logrbf,3,both,0.9958215266870736,0.9958215266870736,0.9958215266864787,196.60919964575544,0.8124347092799812,242,189.22488778377513,7.384311861980316
closure_JAM_truth_small,const_logrbf,4,lattice,,,,71.23042131145503,0.8282607129238957,86,71.23042131145503,0.0
closure_JAM_truth_small,const_logrbf,4,dis,,,,141.49900485620634,0.8955633218747237,158,141.49900485620634,0.0
closure_JAM_truth_small,const_logrbf,4,dy,0.9995437704933009,0.9995437704933009,0.99954376248846,11.965348265523586,0.4602057025201379,26,6.163461131326696e-07,11.965347649177472
closure_JAM_truth_small,const_logrbf,4,exp,0.9245922443006408,0.9245922443006408,0.9245921589342037,153.50456435248668,0.9029680256028628,170,141.5388519121476,11.965712440339079
closure_JAM_truth_small,const_logrbf,4,both,0.9972772711929287,0.9972772711929287,0.9972772711898766,234.43463243930648,0.9687381505756466,242,222.4688695775493,11.965762861757181
closure_JAM_truth_small,const_logrbf,5,lattice,,,,34.38299527625574,0.39980227065413654,86,34.38299527625574,0.0
closure_JAM_truth_small,const_logrbf,5,dis,,,,137.36632036878595,0.8694070909416832,158,137.36632036878595,0.0
closure_JAM_truth_small,const_logrbf,5,dy,0.9996297457387858,0.9996297457387858,0.9996297386293324,12.385529193192992,0.4763665074304997,26,6.163424025096508e-07,12.38552857685059
closure_JAM_truth_small,const_logrbf,5,exp,0.9658036357410472,0.9658036357410472,0.9658034222585061,149.8044552403801,0.8812026778845888,170,137.41906590431614,12.385389336063945
closure_JAM_truth_small,const_logrbf,5,both,0.9960691426651972,0.9960691426651972,0.9960691426640298,193.69394646939523,0.80038820855122,242,181.3085970023352,12.38534946706002
closure_NNPDF_truth_small,beta_envelope,mc,lattice,,,,24.077398265662016,0.27996974727513974,86,24.077398265662016,0.0
closure_NNPDF_truth_small,beta_envelope,mc,dis,,,,75.73973347781407,0.4793654017583169,158,75.73973347781407,0.0
closure_NNPDF_truth_small,beta_envelope,mc,dy,0.9999976131831625,0.9999976131831625,0.9999900664078314,9.263553964398861,0.3562905370922639,26,0.0001339490418817019,9.26342001535698
closure_NNPDF_truth_small,beta_envelope,mc,exp,0.9972258155842142,0.9972258155842142,0.9972256618125125,85.02202078241234,0.5001295340141902,170,75.64925327033536,9.372767512076978
closure_NNPDF_truth_small,beta_envelope,mc,both,0.9981519851719504,0.9981519851719504,0.998151985165034,115.25766402737808,0.4762713389561078,242,105.86662140889308,9.391042618485006
closure_NNPDF_truth_small,beta_envelope,1,lattice,,,,56.815352831442546,0.6606436375749133,86,56.815352831442546,0.0
closure_NNPDF_truth_small,beta_envelope,1,dis,,,,53.628079212912574,0.3394182228665353,158,53.628079212912574,0.0
closure_NNPDF_truth_small,beta_envelope,1,dy,0.999999501607737,0.999999501607737,0.9999944722051862,10.438944566345093,0.40149786793634973,26,5.464950423872296e-05,10.438889916840854
closure_NNPDF_truth_small,beta_envelope,1,exp,0.9968529341787665,0.9968529341787665,0.9968527879228909,64.01892978310391,0.3765819399006113,170,53.625768775807316,10.393161007296602
closure_NNPDF_truth_small,beta_envelope,1,both,0.9969002373492297,0.9969002373492297,0.9969002373445133,131.3544773353464,0.5427870964270511,242,120.96976052103652,10.384716814309874
closure_NNPDF_truth_small,beta_envelope,2,lattice,,,,29.8721412449298,0.347350479592207,86,29.8721412449298,0.0
closure_NNPDF_truth_small,beta_envelope,2,dis,,,,66.4694534576922,0.4206927434031152,158,66.4694534576922,0.0
closure_NNPDF_truth_small,beta_envelope,2,dy,0.9999996673873444,0.9999996673873444,0.9999946083942238,7.473810869210854,0.2874542642004175,26,0.00019356039178641812,7.473617308819067
closure_NNPDF_truth_small,beta_envelope,2,exp,0.997701763024036,0.997701763024036,0.9977016188164868,73.84603697455073,0.43438845279147487,170,66.40647575573873,7.439561218811999
closure_NNPDF_truth_small,beta_envelope,2,both,0.9982869748061025,0.9982869748061025,0.9982869747971673,124.08008489431921,0.5127276235302447,242,116.64703736611204,7.433047528207172
closure_NNPDF_truth_small,beta_envelope,3,lattice,,,,42.014113247502436,0.4885362005523539,86,42.014113247502436,0.0
closure_NNPDF_truth_small,beta_envelope,3,dis,,,,75.1710752345229,0.4757662989526766,158,75.1710752345229,0.0
closure_NNPDF_truth_small,beta_envelope,3,dy,0.9999986180383668,0.9999986180383668,0.9999943832040408,7.502163720973336,0.28854475849897443,26,0.00018907438406923118,7.501974646589266
closure_NNPDF_truth_small,beta_envelope,3,exp,0.9974857283575403,0.9974857283575403,0.9974855832042614,82.43036045201079,0.4848844732471223,170,75.02607734971791,7.404283102292884
closure_NNPDF_truth_small,beta_envelope,3,both,0.998293327394446,0.998293327394446,0.9982933273875771,134.0282073652943,0.553835567625183,242,126.64390047734757,7.3843068879467255
closure_NNPDF_truth_small,beta_envelope,4,lattice,,,,60.775972391836916,0.7066973533934525,86,60.775972391836916,0.0
closure_NNPDF_truth_small,beta_envelope,4,dis,,,,81.92082754556003,0.5184862502883546,158,81.92082754556003,0.0
closure_NNPDF_truth_small,beta_envelope,4,dy,0.9999986124428796,0.9999986124428796,0.999992593351449,11.897590033264557,0.4575996166640214,26,0.0001982761273547682,11.897391757137202
closure_NNPDF_truth_small,beta_envelope,4,exp,0.9974023658069395,0.9974023658069395,0.997402222685513,93.76669435322461,0.5515687903130859,170,81.81106612458746,11.955628228637158
closure_NNPDF_truth_small,beta_envelope,4,both,0.9986409401153769,0.9986409401153769,0.9986409401092643,172.66865332723555,0.7135068319307254,242,160.70287845032357,11.965774876911986
closure_NNPDF_truth_small,beta_envelope,5,lattice,,,,29.204856121728508,0.3395913502526571,86,29.204856121728508,0.0
closure_NNPDF_truth_small,beta_envelope,5,dis,,,,73.75052535060694,0.46677547690257554,158,73.75052535060694,0.0
closure_NNPDF_truth_small,beta_envelope,5,dy,0.9999987262052492,0.9999987262052492,0.9999928260076991,12.414269794720177,0.47747191518154525,26,0.00018890326771283034,12.414080891452464
closure_NNPDF_truth_small,beta_envelope,5,exp,0.9968295085785659,0.9968295085785659,0.9968293764414147,86.32258236839239,0.5077798962846611,170,73.93281693664895,12.389765431743443
closure_NNPDF_truth_small,beta_envelope,5,both,0.9986224123488885,0.9986224123488885,0.9986224123409944,128.2240838421516,0.5298515861245934,242,115.83876314191845,12.385320700233157
closure_NNPDF_truth_small,const_logrbf,mc,lattice,,,,33.11236855445259,0.38502754133084405,86,33.11236855445259,0.0
closure_NNPDF_truth_small,const_logrbf,mc,dis,,,,101.78721261821052,0.6442228646722185,158,101.78721261821052,0.0
closure_NNPDF_truth_small,const_logrbf,mc,dy,0.9995942196769255,0.9995942196769255,0.9995942146073852,9.390304437856319,0.3611655553021661,26,5.652566784586541e-07,9.39030387259964
closure_NNPDF_truth_small,const_logrbf,mc,exp,0.9887177671307654,0.9887177671307654,0.9887177656740699,110.99352708555757,0.6529031005032798,170,101.60252683465148,9.391000250906092
closure_NNPDF_truth_small,const_logrbf,mc,both,0.9752880832637794,0.9752880832637794,0.9752880832503404,154.13063110198263,0.6369034343057134,242,144.73956661548002,9.391064486502623
closure_NNPDF_truth_small,const_logrbf,1,lattice,,,,60.11155744942523,0.6989715982491306,86,60.11155744942523,0.0
closure_NNPDF_truth_small,const_logrbf,1,dis,,,,85.42805593518719,0.5406838983239696,158,85.42805593518719,0.0
closure_NNPDF_truth_small,const_logrbf,1,dy,0.9996442334396307,0.9996442334396307,0.9996442302959248,10.384981197137261,0.3994223537360485,26,5.117182748077767e-07,10.384980685418986
closure_NNPDF_truth_small,const_logrbf,1,exp,0.9958970937891115,0.9958970937891115,0.9958970934679575,95.76384976813553,0.5633167633419737,170,85.37912073728884,10.384729030846689
closure_NNPDF_truth_small,const_logrbf,1,both,0.9855045563278673,0.9855045563278673,0.9855045563258598,162.36902482389758,0.6709463835698247,242,151.98431185907097,10.384712964826592
closure_NNPDF_truth_small,const_logrbf,2,lattice,,,,34.32143365269173,0.3990864378219969,86,34.32143365269173,0.0
closure_NNPDF_truth_small,const_logrbf,2,dis,,,,99.00520021393746,0.6266151912274522,158,99.00520021393746,0.0
